	avail_bikes	timestamp
186	0	2016-01-01 00:00:00
615	0	2016-01-01 01:00:00
99	1	2016-01-01 02:00:00
516	2	2016-01-01 03:00:00
298	0	2016-01-01 04:00:00
514	0	2016-01-01 05:00:00
184	0	2016-01-01 06:00:00
400	0	2016-01-01 07:00:00
291	0	2016-01-01 08:00:00
506	1	2016-01-01 09:00:00
177	2	2016-01-01 10:00:00
510	0	2016-01-01 11:00:00
430	2	2016-01-01 12:00:00
322	2	2016-01-01 13:00:00
437	0	2016-01-01 14:00:00
141	0	2016-01-01 15:00:00
628	0	2016-01-01 16:00:00
124	7	2016-01-01 17:00:00
412	10	2016-01-01 18:00:00
201	11	2016-01-01 19:00:00
374	18	2016-01-01 20:00:00
118	23	2016-01-01 21:00:00
490	18	2016-01-01 22:00:00
91	19	2016-01-01 23:00:00
486	21	2016-01-02 00:00:00
111	22	2016-01-02 01:00:00
589	21	2016-01-02 02:00:00
59	21	2016-01-02 03:00:00
369	21	2016-01-02 04:00:00
4	21	2016-01-02 05:00:00
478	21	2016-01-02 06:00:00
120	21	2016-01-02 07:00:00
597	18	2016-01-02 08:00:00
228	17	2016-01-02 09:00:00
497	18	2016-01-02 10:00:00
86	10	2016-01-02 11:00:00
158	9	2016-01-02 12:00:00
603	7	2016-01-02 13:00:00
219	6	2016-01-02 14:00:00
432	5	2016-01-02 15:00:00
294	6	2016-01-02 16:00:00
613	13	2016-01-02 17:00:00
180	20	2016-01-02 18:00:00
492	22	2016-01-02 19:00:00
113	24	2016-01-02 20:00:00
415	23	2016-01-02 21:00:00
80	24	2016-01-02 22:00:00
427	21	2016-01-02 23:00:00
38	22	2016-01-03 00:00:00
537	21	2016-01-03 01:00:00
6	20	2016-01-03 02:00:00
368	17	2016-01-03 03:00:00
117	17	2016-01-03 04:00:00
549	17	2016-01-03 05:00:00
234	17	2016-01-03 06:00:00
595	17	2016-01-03 07:00:00
20	17	2016-01-03 08:00:00
442	14	2016-01-03 09:00:00
229	10	2016-01-03 10:00:00
402	8	2016-01-03 11:00:00
608	9	2016-01-03 12:00:00
14	9	2016-01-03 13:00:00
630	9	2016-01-03 14:00:00
233	10	2016-01-03 15:00:00
474	9	2016-01-03 16:00:00
299	8	2016-01-03 17:00:00
353	14	2016-01-03 18:00:00
39	8	2016-01-03 19:00:00
548	10	2016-01-03 20:00:00
150	9	2016-01-03 21:00:00
564	8	2016-01-03 22:00:00
32	8	2016-01-03 23:00:00
438	8	2016-01-04 00:00:00
3	8	2016-01-04 01:00:00
439	8	2016-01-04 02:00:00
220	8	2016-01-04 03:00:00
654	8	2016-01-04 04:00:00
110	8	2016-01-04 05:00:00
656	7	2016-01-04 06:00:00
331	7	2016-01-04 07:00:00
659	2	2016-01-04 08:00:00
115	1	2016-01-04 09:00:00
587	0	2016-01-04 10:00:00
2	1	2016-01-04 11:00:00
328	1	2016-01-04 12:00:00
535	2	2016-01-04 13:00:00
8	1	2016-01-04 14:00:00
391	2	2016-01-04 15:00:00
663	12	2016-01-04 19:00:00
179	11	2016-01-04 20:00:00
521	11	2016-01-04 21:00:00
311	11	2016-01-04 22:00:00
632	13	2016-01-04 23:00:00
18	14	2016-01-05 00:00:00
618	14	2016-01-05 01:00:00
28	15	2016-01-05 02:00:00
399	15	2016-01-05 03:00:00
227	15	2016-01-05 04:00:00
605	14	2016-01-05 05:00:00
109	11	2016-01-05 06:00:00
660	10	2016-01-05 07:00:00
332	7	2016-01-05 08:00:00
592	0	2016-01-05 09:00:00
0	1	2016-01-05 10:00:00
611	1	2016-01-05 11:00:00
515	1	2016-01-05 12:00:00
307	0	2016-01-05 13:00:00
447	1	2016-01-05 14:00:00
210	1	2016-01-05 15:00:00
376	0	2016-01-05 16:00:00
167	4	2016-01-05 17:00:00
534	11	2016-01-05 18:00:00
285	16	2016-01-05 19:00:00
648	20	2016-01-05 20:00:00
106	22	2016-01-05 21:00:00
650	22	2016-01-05 22:00:00
264	23	2016-01-05 23:00:00
383	25	2016-01-06 00:00:00
90	24	2016-01-06 01:00:00
342	24	2016-01-06 02:00:00
239	18	2016-01-06 03:00:00
417	17	2016-01-06 04:00:00
232	17	2016-01-06 05:00:00
560	13	2016-01-06 06:00:00
11	13	2016-01-06 07:00:00
395	7	2016-01-06 08:00:00
238	3	2016-01-06 09:00:00
565	2	2016-01-06 10:00:00
153	4	2016-01-06 11:00:00
82	6	2016-01-06 12:00:00
488	4	2016-01-06 13:00:00
199	6	2016-01-06 14:00:00
371	8	2016-01-06 15:00:00
218	7	2016-01-06 16:00:00
429	9	2016-01-06 17:00:00
62	11	2016-01-06 18:00:00
645	21	2016-01-06 19:00:00
138	22	2016-01-06 20:00:00
348	22	2016-01-06 21:00:00
68	23	2016-01-06 22:00:00
390	22	2016-01-06 23:00:00
74	22	2016-01-07 00:00:00
459	21	2016-01-07 01:00:00
19	20	2016-01-07 02:00:00
377	20	2016-01-07 03:00:00
10	20	2016-01-07 04:00:00
567	21	2016-01-07 05:00:00
134	20	2016-01-07 06:00:00
338	18	2016-01-07 07:00:00
121	9	2016-01-07 08:00:00
339	4	2016-01-07 09:00:00
122	3	2016-01-07 10:00:00
453	3	2016-01-07 11:00:00
546	1	2016-01-07 12:00:00
203	3	2016-01-07 13:00:00
569	3	2016-01-07 14:00:00
84	7	2016-01-07 15:00:00
627	9	2016-01-07 16:00:00
190	13	2016-01-07 17:00:00
379	17	2016-01-07 18:00:00
259	22	2016-01-07 19:00:00
538	19	2016-01-07 20:00:00
280	24	2016-01-07 21:00:00
657	26	2016-01-07 22:00:00
225	28	2016-01-07 23:00:00
664	29	2016-01-08 00:00:00
200	27	2016-01-08 01:00:00
452	28	2016-01-08 02:00:00
83	27	2016-01-08 03:00:00
451	27	2016-01-08 04:00:00
94	26	2016-01-08 05:00:00
337	24	2016-01-08 06:00:00
313	19	2016-01-08 07:00:00
444	20	2016-01-08 08:00:00
85	18	2016-01-08 09:00:00
631	15	2016-01-08 10:00:00
305	16	2016-01-08 11:00:00
