	avail_bikes	timestamp
325	15	2016-01-01 00:00:00
3511	15	2016-01-01 01:00:00
4144	17	2016-01-01 02:00:00
4523	15	2016-01-01 03:00:00
531	15	2016-01-01 04:00:00
911	15	2016-01-01 05:00:00
1367	15	2016-01-01 06:00:00
1909	15	2016-01-01 07:00:00
2928	15	2016-01-01 08:00:00
3306	15	2016-01-01 09:00:00
3929	14	2016-01-01 10:00:00
4510	15	2016-01-01 11:00:00
3175	11	2016-01-01 12:00:00
570	13	2016-01-01 13:00:00
4251	13	2016-01-01 14:00:00
3878	13	2016-01-01 15:00:00
3539	11	2016-01-01 16:00:00
2626	16	2016-01-01 17:00:00
1935	17	2016-01-01 18:00:00
1615	15	2016-01-01 19:00:00
656	15	2016-01-01 20:00:00
204	18	2016-01-01 21:00:00
4483	18	2016-01-01 22:00:00
3785	20	2016-01-01 23:00:00
2022	22	2016-01-02 00:00:00
3727	21	2016-01-02 01:00:00
3461	20	2016-01-02 02:00:00
2498	20	2016-01-02 03:00:00
1849	20	2016-01-02 04:00:00
1502	20	2016-01-02 05:00:00
900	20	2016-01-02 06:00:00
205	20	2016-01-02 07:00:00
4249	18	2016-01-02 08:00:00
3712	17	2016-01-02 09:00:00
3367	14	2016-01-02 10:00:00
2557	14	2016-01-02 11:00:00
1601	10	2016-01-02 12:00:00
4629	11	2016-01-02 13:00:00
372	7	2016-01-02 14:00:00
1008	1	2016-01-02 15:00:00
1386	1	2016-01-02 16:00:00
1858	5	2016-01-02 17:00:00
2716	6	2016-01-02 18:00:00
3544	2	2016-01-02 19:00:00
3622	0	2016-01-02 20:00:00
4247	1	2016-01-02 21:00:00
421	3	2016-01-02 22:00:00
602	4	2016-01-02 23:00:00
1469	3	2016-01-03 00:00:00
4504	3	2016-01-03 01:00:00
2418	3	2016-01-03 02:00:00
3558	3	2016-01-03 03:00:00
1323	4	2016-01-03 04:00:00
2173	6	2016-01-03 05:00:00
425	6	2016-01-03 06:00:00
956	6	2016-01-03 07:00:00
3994	5	2016-01-03 08:00:00
4377	6	2016-01-03 09:00:00
2821	4	2016-01-03 10:00:00
3120	0	2016-01-03 11:00:00
2135	0	2016-01-03 12:00:00
3881	0	2016-01-03 13:00:00
871	0	2016-01-03 14:00:00
143	0	2016-01-03 15:00:00
2046	2	2016-01-03 16:00:00
1412	0	2016-01-03 17:00:00
3198	0	2016-01-03 18:00:00
2464	1	2016-01-03 19:00:00
4286	5	2016-01-03 20:00:00
4145	7	2016-01-03 21:00:00
650	7	2016-01-03 22:00:00
398	8	2016-01-03 23:00:00
3477	9	2016-01-04 00:00:00
10	8	2016-01-04 01:00:00
2110	8	2016-01-04 02:00:00
1595	8	2016-01-04 03:00:00
3072	8	2016-01-04 04:00:00
2434	8	2016-01-04 05:00:00
4248	8	2016-01-04 06:00:00
4077	3	2016-01-04 07:00:00
698	0	2016-01-04 08:00:00
115	0	2016-01-04 09:00:00
2236	0	2016-01-04 10:00:00
1610	0	2016-01-04 11:00:00
588	0	2016-01-04 12:00:00
3575	1	2016-01-04 13:00:00
1264	0	2016-01-04 14:00:00
1891	1	2016-01-04 15:00:00
4716	10	2016-01-04 19:00:00
2714	10	2016-01-04 20:00:00
3284	11	2016-01-04 21:00:00
1572	12	2016-01-04 22:00:00
2324	12	2016-01-04 23:00:00
2599	12	2016-01-05 00:00:00
975	13	2016-01-05 01:00:00
1275	14	2016-01-05 02:00:00
1905	14	2016-01-05 03:00:00
2818	14	2016-01-05 04:00:00
3454	14	2016-01-05 05:00:00
4096	13	2016-01-05 06:00:00
4815	11	2016-01-05 07:00:00
383	5	2016-01-05 08:00:00
991	1	2016-01-05 09:00:00
1203	1	2016-01-05 10:00:00
2272	1	2016-01-05 11:00:00
1067	3	2016-01-05 12:00:00
2961	3	2016-01-05 13:00:00
1993	3	2016-01-05 14:00:00
1417	2	2016-01-05 15:00:00
990	2	2016-01-05 16:00:00
288	2	2016-01-05 17:00:00
4749	7	2016-01-05 18:00:00
4127	13	2016-01-05 19:00:00
3405	15	2016-01-05 20:00:00
2588	15	2016-01-05 21:00:00
2241	15	2016-01-05 22:00:00
1224	15	2016-01-05 23:00:00
4287	14	2016-01-06 00:00:00
1419	14	2016-01-06 01:00:00
799	14	2016-01-06 02:00:00
388	14	2016-01-06 03:00:00
4520	14	2016-01-06 04:00:00
4137	13	2016-01-06 05:00:00
3605	12	2016-01-06 06:00:00
2422	8	2016-01-06 07:00:00
1897	3	2016-01-06 08:00:00
1673	1	2016-01-06 09:00:00
749	1	2016-01-06 10:00:00
479	0	2016-01-06 11:00:00
3962	0	2016-01-06 12:00:00
2064	1	2016-01-06 13:00:00
2766	2	2016-01-06 14:00:00
3171	4	2016-01-06 15:00:00
4013	4	2016-01-06 16:00:00
4578	4	2016-01-06 17:00:00
253	9	2016-01-06 18:00:00
924	13	2016-01-06 19:00:00
1788	12	2016-01-06 20:00:00
1822	9	2016-01-06 21:00:00
2554	11	2016-01-06 22:00:00
3099	13	2016-01-06 23:00:00
3797	12	2016-01-07 00:00:00
2014	12	2016-01-07 01:00:00
144	12	2016-01-07 02:00:00
1032	12	2016-01-07 03:00:00
3650	12	2016-01-07 04:00:00
4756	12	2016-01-07 05:00:00
2633	11	2016-01-07 06:00:00
